,idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
239,925193,6,8,Fair,1.0,Once a week,189.0,75.0,Male,1996
240,925216,6,9,Good,,Several times a week,168.0,102.0,Female,1958
241,925224,5,2,Fair,30.0,Less than once a month,173.0,58.0,Female,1967
242,925232,5,9,Very good,,Once a month,168.0,50.0,Male,1998
243,925240,8,9,Very good,,2-3 times a month,184.0,110.0,Male,1939
244,925258,7,7,Good,,Once a week,179.0,99.0,Male,1967
245,925274,4,6,Bad,,2-3 times a month,174.0,89.0,Male,1955
246,925282,6,7,Good,,Several times a week,163.0,59.0,Female,1938
247,925290,7,9,Very good,,Several times a week,177.0,90.0,Male,1951
248,925305,9,9,Good,,Several times a week,180.0,86.0,Male,1947
249,925313,8,9,Good,,Once a week,187.0,135.0,Male,1955
250,925355,3,8,Fair,,Less than once a month,175.0,82.0,Male,1962
251,925371,5,9,Fair,,,162.0,70.0,Female,1938
252,925397,8,9,Good,,Several times a week,188.0,99.0,Male,1964
253,925402,Most people can be trusted,8,Very good,,2-3 times a month,166.0,56.0,Female,1976
254,925410,4,8,Bad,,Several times a week,156.0,60.0,Female,1969
255,925509,8,8,Fair,,Every day,170.0,65.0,Male,1968
256,925525,8,Extremely happy,Fair,,Every day,156.0,50.0,Female,1939
257,925533,5,Extremely happy,Very good,,Several times a week,190.0,95.0,Male,1984
258,925541,8,8,Good,,Less than once a month,180.0,114.0,Male,1980
259,925559,7,Extremely happy,Good,,Once a week,186.0,105.0,Male,1996
260,925567,6,Extremely happy,Fair,,2-3 times a month,152.0,76.0,Female,1937
261,925575,9,9,Very good,,Several times a week,158.0,57.0,Female,1939
262,925583,4,9,Good,,Less than once a month,169.0,65.0,Female,1994
263,925591,7,9,Very good,,2-3 times a month,164.0,53.0,Female,1958
264,925606,8,9,Very good,14.0,Once a week,176.0,104.0,Male,1955
265,925614,5,9,Fair,,Never,168.0,102.0,Female,1971
266,925622,8,8,Fair,,Every day,157.0,70.0,Female,1946
267,925656,6,9,Very good,,Several times a week,168.0,67.0,Male,1966
268,925680,8,Extremely happy,Good,,Several times a week,164.0,69.0,Female,1944
269,925703,8,5,Fair,,2-3 times a month,165.0,60.0,Female,1975
270,925745,7,8,Very good,20.0,Once a month,168.0,65.0,Female,1957
271,925753,7,7,Very good,0.0,Less than once a month,168.0,67.0,Female,1988
272,925761,8,9,Very good,,Less than once a month,188.0,77.0,Male,1987
273,925787,7,9,Very good,20.0,Less than once a month,175.0,80.0,Female,1949
274,925795,8,9,Good,2.0,Once a week,178.0,85.0,Female,1964
275,925826,7,9,Very good,,2-3 times a month,171.0,64.0,Female,1989
276,925876,8,6,Very good,10.0,Several times a week,189.0,80.0,Male,1970
277,925884,5,9,Bad,,Never,173.0,81.0,Male,1990
